,0
sample_id,54.37793805978066
Feed Factor PD1,0.0031546698498393427
Feed Factor PD2,0.0007050986335205226
Feed Factor PD3,0.39072975664027787
Feed Factor PD4,0.0004488990195704665
Feed Factor PD5,0.00015587826182553838
Feed Factor PD7,0.0006394957207422328
Screw RPM PD1,3558.2966731178053
Screw RPM PD2,1787.727509308993
Screw RPM PD3,1049.829424959209
Screw RPM PD4,3513.875545200749
Screw RPM PD5,54.97533584245941
Screw RPM PD7,11.541910053796057
VolMode PD1,0.14261059321293637
VolMode PD2,0.14395993758312653
VolMode PD3,0.17182410976512516
VolMode PD4,0.1469465015681805
VolMode PD5,0.13557094012099868
VolMode PD7,0.13557094012099868
Massflow PD 1,22.576812917539332
Massflow PD 2,23.4909438640928
Massflow PD 3,2.9562913684573515
Massflow PD 4,22.630914211600558
Massflow PD 5,0.2626560929539558
Massflow PD 7,0.028601911593766762
%  PD1,90.36394359790151
%  PD2,93.95224963047745
%  PD3,11.80777572357421
%  PD4,90.56719123274296
%  PD5,1.0499499936100984
%  PD7,0.11443770747175126
Estimated weight IBC PS1,2588.6382185672956
Estimated weight IBC PS2,2716.709916617733
Estimated weight IBC PS3,23741.013452060033
Estimated weight IBC PS4,2679.0562704678755
Estimated weight IBC PS5,45.40117831869458
Estimated weight IBC PS7,3.6643885234816445
RefAct PD1,0.017223138918948735
RefAct PD2,0.015792989578124705
RefAct PD3,0.018523741675847104
RefAct PD4,0.02333371255817949
RefAct PD5,0.0021905522518400828
RefAct PD7,0.0016721818597832663
Net Weight PD1,0.03399130911905069
Net Weight PD2,0.045836017940781126
Net Weight PD3,0.02101451365026525
Net Weight PD4,0.03606252368261738
Net Weight PD5,0.04505153868433906
Net Weight PD7,0.003906512148378927
Totalizer PD1,2935.634556342038
Totalizer PD2,2993.9491937085304
Totalizer PD3,359.319714196178
Totalizer PD4,2958.9551280253177
Totalizer PD5,29.266833317431004
Totalizer PD7,3.512912220835321
Massflow Blender 1,272.52341031923373
Massflow Blender 2,281.3325232431402
Blend Potency Blender 1,3.3596302287853823
Blend Potency Blender 2,3.100046250050945
OOS Concentration at Blender 1 inlet,578.0594657318672
OOS Concentration at Blender 2 inlet,47.35784467300292
Pre-compression height bottom,0.0010169832297259264
Pre-compresion top dwell time,22.425155987098083
Pre-compression force,7.146489122121643e-05
Pre-compression displacement top sigma,0.011926886010498603
Main compression height bottom,0.000285899639067124
Main compression top dwell time,0.000285899639067124
Main compression force,0.07022798330214133
Compression cycle fill depth,0.011838477475917751
Filling Shoe M20M13 speed,628.1715473842102
Filling Shoe M20M23 speed,901.8123296665879
Material inlet: Hopper level detection,901.8123296665879
Ejection force tablet,0.0030814582146622372
Tablet 1,0.0161164053304075
Tablet 2,0.028506735441574914
Tablet 3,0.03562769475157959
Tablet 4,0.017433261722587905
Tablet 5,0.022226000610145184
Tablet 6,0.018220657578488557
Tablet 7,0.014838872667088207
Tablet 8,0.020165103662068137
Tablet 9,0.050667613447598694
Tablet 10,0.026015468679549614
